city,date,aqi,level,pm2_5,pm10,so2,co,no2,o3,time,source
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.482146,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.496185,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.496185,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.496185,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.499695,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.499695,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.506715,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.506715,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.506715,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:05:41.510223,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:19:26.282469,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:19:26.286376,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:19:26.290294,aqispider
孟亮,孟亮,孟亮,孟亮,孟亮,1,1,1,1,1,2020-09-26 08:19:26.294191,aqispider
